,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
50,30760.0,36920.2,55500.0,39901.0,82133.5,81900.0,27450.0,26240.0,49945.0,33727.0,37500.0,113600.0,96404.0,75112.0,74800.0,55300.0,101800.0,11650.0,163800.0,27524.0,29500.0,52800.0,26629.6,77729.0,80431.0,108178.0,113000.0,91000.0,37556.0,31250.0
51,30560.0,35930.9,56100.0,38894.0,80840.7,80100.0,27850.0,25600.0,49208.4,35455.0,36500.0,110000.0,94741.0,76518.0,77500.0,53900.0,101600.0,11650.0,163000.0,26616.6,29800.0,51400.0,26000.0,76413.0,79442.0,106933.0,113000.0,90500.0,37389.3,30750.0
52,31120.0,37315.9,55500.0,39669.0,81702.6,82000.0,28750.0,26280.0,49429.4,35455.0,37700.0,112500.0,94941.0,75899.0,77800.0,54800.0,101000.0,11700.0,161500.0,28095.3,31850.0,53000.0,26740.8,77109.0,79594.0,106489.0,112000.0,91100.0,38111.5,30550.0
53,33120.0,38542.6,54100.0,41141.0,84374.3,82600.0,28600.0,27040.0,52700.0,35864.0,38000.0,110100.0,92146.0,75731.0,77000.0,54600.0,100900.0,11750.0,155500.0,29842.9,33800.0,53700.0,27740.8,76335.0,78072.0,104445.0,110000.0,90500.0,38444.9,29400.0
54,33680.0,37988.6,53600.0,40753.0,87100.0,83700.0,28350.0,27440.0,55500.0,35955.0,38200.0,107000.0,90816.0,76406.0,75800.0,54700.0,100500.0,12100.0,154000.0,29372.4,32400.0,53100.0,28000.0,80284.0,79137.0,106667.0,106200.0,89900.0,38500.4,30700.0
55,35680.0,37513.8,53600.0,40288.0,85500.0,87400.0,27850.0,27200.0,54000.0,35909.0,38500.0,105700.0,92346.0,78431.0,77100.0,55200.0,100500.0,11900.0,152000.0,30918.3,32200.0,52800.0,27555.6,82064.0,79442.0,104445.0,106600.0,89400.0,39000.4,30100.0
56,36720.0,38621.8,54900.0,41528.0,85200.0,88300.0,28500.0,28640.0,54300.0,36182.0,41150.0,105000.0,92479.0,79332.0,78300.0,55400.0,101200.0,12700.0,153900.0,32867.5,32750.0,54800.0,28333.3,82606.0,80203.0,105333.0,106900.0,90200.0,39222.6,30500.0
57,36240.0,38780.0,57100.0,41838.0,84700.0,91400.0,29900.0,28360.0,54500.0,35591.0,41550.0,107300.0,91481.0,78656.0,81800.0,57200.0,100600.0,13100.0,153700.0,32766.7,32150.0,54600.0,28888.9,81213.0,79518.0,107556.0,107400.0,89500.0,39833.8,32200.0
58,34400.0,37038.9,58500.0,40288.0,82700.0,90700.0,31400.0,27720.0,52700.0,35273.0,39750.0,104500.0,90550.0,77981.0,83300.0,56600.0,99600.0,12900.0,155100.0,31691.3,30700.0,52400.0,27555.6,79742.0,80659.0,109333.0,111800.0,89400.0,40000.4,33350.0
59,32160.0,35456.0,57000.0,37964.0,80800.0,88100.0,29250.0,25840.0,50000.0,35045.0,37300.0,104000.0,90483.0,76518.0,82300.0,54700.0,96000.0,12100.0,156800.0,29574.0,28600.0,49500.0,25925.9,77419.0,80127.0,106489.0,117200.0,89700.0,39722.7,31650.0
