,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
203,"33,800.0","35,200.0","55,200.0","34,150.0","93,600.0","97,000.0","36,900","30,600.0","45,800.0","53,000.0","28,300.0","172,000","134,400","87,000","93,000.0","54,000.0","93,200.0","18,000.0","148,300","49,650.0","29,500.0","49,100.0","41,350.0","79,500","81,700","95,500","125,200","85,200.0","34,750.0","30,550.0"
204,"33,900.0","35,400.0","55,100.0","33,800.0","93,600.0","97,000.0","37,000","30,600.0","45,700.0","52,100.0","28,450.0","171,500","134,300","86,300","94,400.0","54,000.0","92,500.0","17,450.0","148,900","52,600.0","30,500.0","49,300.0","40,750.0","78,400","81,600","95,000","126,000","85,300.0","35,400.0","30,500.0"
205,"34,500.0","37,100.0","56,000.0","33,900.0","93,000.0","96,200.0","36,950","30,850.0","46,400.0","51,000.0","28,900.0","171,000","135,900","91,000","95,200.0","53,900.0","96,200.0","17,500.0","151,000","51,800.0","31,500.0","50,000.0","41,050.0","78,800","82,000","95,100","128,300","86,400.0","35,800.0","30,100.0"
206,"34,400.0","37,400.0","56,900.0","34,750.0","93,500.0","101,900.0","37,600","31,100.0","46,750.0","54,400.0","29,100.0","170,000","137,800","89,000","94,800.0","55,900.0","96,500.0","18,700.0","157,000","53,000.0","32,100.0","50,900.0","42,750.0","79,000","85,100","101,000","126,000","86,700.0","36,050.0","31,150.0"
207,"33,700.0","37,050.0","56,600.0","34,750.0","93,600.0","105,000.0","38,400","30,500.0","46,800.0","55,700.0","28,700.0","161,000","137,100","89,100","93,800.0","55,700.0","95,100.0","19,000.0","159,300","52,800.0","32,550.0","50,500.0","42,000.0","78,000","84,000","100,000","123,000","86,200.0","35,500.0","33,300.0"
208,"33,750.0","38,000.0","56,200.0","34,000.0","93,500.0","103,700.0","38,600","30,500.0","46,100.0","56,800.0","28,350.0","153,800","137,500","88,200","93,800.0","55,500.0","94,600.0","19,250.0","156,600","51,900.0","32,700.0","49,900.0","42,000.0","79,100","85,300","104,500","123,800","85,400.0","35,150.0","35,600.0"
209,"33,300.0","39,200.0","55,600.0","33,200.0","93,400.0","107,500.0","38,500","30,300.0","45,800.0","56,600.0","28,600.0","154,000","135,500","86,400","93,000.0","56,300.0","93,900.0","20,150.0","153,200","51,600.0","31,950.0","49,450.0","41,000.0","79,800","85,400","102,200","123,800","85,200.0","34,600.0","34,750.0"
210,"33,000.0","38,850.0","54,700.0","33,300.0","92,000.0","102,000.0","37,700","29,600.0","45,650.0","54,100.0","28,100.0","153,000","133,000","83,900","93,500.0","55,000.0","93,200.0","18,750.0","152,000","49,550.0","31,600.0","48,650.0","40,450.0","79,500","85,400","102,300","123,800","83,700.0","34,400.0","35,000.0"
211,"32,750.0","39,400.0","53,800.0","33,000.0","89,500.0","103,300.0","36,800","29,300.0","45,100.0","53,000.0","27,900.0","144,900","131,800","84,500","92,600.0","54,100.0","94,100.0","18,650.0","152,900","48,100.0","32,450.0","48,450.0","40,200.0","79,400","83,600","101,000","123,800","83,700.0","34,300.0","34,200.0"
212,"33,100.0","42,150.0","54,000.0","34,150.0","89,600.0","108,000.0","37,000","30,950.0","46,200.0","53,700.0","29,200.0","144,900","136,000","83,800","90,000.0","54,800.0","92,700.0","18,150.0","152,800","50,500.0","34,700.0","50,400.0","43,000.0","80,000","83,600","100,800","123,200","83,100.0","35,400.0","36,000.0"
213,"33,350.0","44,000.0","54,000.0","35,150.0","92,100.0","105,000.0","35,500","30,800.0","46,700.0","53,500.0","29,700.0","144,800","135,500","83,500","90,500.0","54,200.0","94,100.0","16,900.0","151,000","48,850.0","34,300.0","50,500.0","42,150.0","81,900","82,200","98,800","122,000","83,100.0","35,250.0","33,800.0"
214,"33,050.0","44,250.0","54,200.0","35,450.0","91,300.0","105,500.0","35,700","30,600.0","46,250.0","53,500.0","29,650.0","144,800","134,000","82,000","91,800.0","55,000.0","93,900.0","17,700.0","151,900","48,700.0","35,000.0","49,750.0","41,900.0","83,400","82,200","98,900","122,000","84,700.0","34,850.0","34,400.0"
215,"32,750.0","43,650.0","52,700.0","35,000.0","89,000.0","104,600.0","33,250","29,000.0","44,700.0","49,800.0","29,500.0","142,000","130,000","80,000","86,500.0","53,600.0","93,500.0","16,500.0","150,000","45,300.0","32,600.0","48,600.0","40,200.0","86,200","79,100","97,000","120,500","82,900.0","33,050.0","32,000.0"
216,"32,800.0","44,900.0","51,600.0","34,550.0","88,100.0","107,000.0","31,100","29,550.0","44,000.0","50,500.0","29,900.0","142,100","130,100","80,100","88,000.0","54,000.0","93,300.0","15,400.0","151,000","42,300.0","33,900.0","48,750.0","38,900.0","87,600","77,000","95,900","124,500","83,400.0","33,250.0","32,400.0"
217,"33,000.0","43,650.0","51,900.0","33,800.0","88,300.0","107,000.0","31,800","28,950.0","43,500.0","51,900.0","29,600.0","147,500","133,500","80,000","89,000.0","54,100.0","93,600.0","16,050.0","150,000","45,200.0","32,900.0","48,850.0","39,300.0","86,800","77,600","95,800","126,300","83,400.0","33,500.0","33,250.0"
